,artist_id,debut_date,artist_type,artist_gender,artist_nationality
363,2017,2000.06.14,솔로,여성,대한민국
364,672857,2010,솔로,남성,대한민국
365,24288,2006.10.19,솔로,여성,대한민국
366,2737795,2010,그룹,남성,대한민국
367,261447,2008,솔로,남성,대한민국
368,306367,2008,솔로,여성,대한민국
369,441844,2013,솔로,여성,대한민국
370,780915,2010,솔로,여성,대한민국
371,204828,2006,솔로,여성,대한민국
372,860988,2010,솔로,여성,캐나다
373,725985,2013,솔로,남성,대한민국
374,1758307,2015,솔로,남성,미국
375,172180,2000,솔로,남성,대한민국
376,35155,2007,솔로,남성,대한민국
377,4770,2001,솔로,남성,대한민국
378,101218,2001,그룹,남성,대한민국
379,2112495,2018.11.12,솔로,남성,대한민국
380,100012,1995,솔로,여성,대한민국
381,906283,2010,솔로,여성,대한민국
382,686994,2012,솔로,여성,대한민국
383,160738,2004.11.12,솔로,남성,대한민국
384,181769,2005,솔로,남성,미국
385,39333,2003,솔로,남성,대한민국
386,314367,2008,솔로,남성,대한민국
387,1630,1995,솔로,남성,대한민국
388,1819,2005,솔로,여성,대한민국
389,100139,1998,그룹,남성,대한민국
390,2111772,2010,솔로,남성,대한민국
391,3535,2003,솔로,여성,미국
392,231069,2000,그룹,혼성,대한민국
393,101879,2000.12.01,그룹,남성,미국
394,160801,2004,그룹,남성,대한민국
395,510537,2000,솔로,남성,대한민국
396,767374,2014,그룹,남성,대한민국
397,315170,2009,솔로,남성,대한민국
398,957315,2010,솔로,남성,
399,646177,2014.10.31,솔로,남성,대한민국
400,102055,2002,그룹,남성,대한민국
401,181567,2002.11.29,솔로,여성,프랑스
402,1190,1989,솔로,여성,대한민국
403,175203,2005.11.08,그룹,남성,대한민국
404,182536,2005,그룹,혼성,대한민국
405,466821,2000,그룹,남성,이탈리아
406,31741,2010,그룹,남성,대한민국
407,960251,2010,그룹,여성,대한민국
408,2853095,2020,솔로,여성,미국
409,15987,2000,솔로,여성,대한민국
410,8314,2002,솔로,남성,대한민국
411,535440,2011.04.23,그룹,남성,대한민국
412,477632,2010,그룹,여성,대한민국
413,14952,,솔로,남성,대한민국
414,30591,2003,솔로,남성,대한민국
415,47005,2000,솔로,남성,대한민국
416,322666,2009,그룹,여성,대한민국
417,520600,2011,솔로,남성,대한민국
418,265067,2008,솔로,남성,대한민국
419,173455,2005,그룹,여성,미국
420,532029,2010,솔로,남성,대한민국
421,100985,1995,그룹,남성,대한민국
422,601979,2014.04.11,솔로,남성,대한민국
423,100168,1995,그룹,남성,대한민국
424,108963,2004,그룹,남성,대한민국
425,748510,2013.12.27,솔로,여성,대한민국
426,52808,2004,솔로,여성,대한민국
427,100829,1996,그룹,남성,대한민국
428,875152,2019.01.28,솔로,남성,대한민국
429,174009,2003,솔로,여성,대한민국
430,837027,2010,솔로,남성,대한민국
431,615471,2012,그룹,여성,대한민국
432,925018,2010,그룹,여성,대한민국
433,1738,2007.11.30,솔로,남성,대한민국
434,186813,2006,그룹,여성,대한민국
435,247582,2000,솔로,여성,대한민국
436,2400004,2018.10.27,솔로,남성,대한민국
437,181678,2006,그룹,남성,대한민국
438,223392,2007,솔로,여성,대한민국
439,5973,1996,솔로,남성,대한민국
440,658091,2010,솔로,남성,대한민국
441,11245,2000,솔로,남성,대한민국
442,101491,2000,그룹,혼성,대한민국
443,39088,2002,솔로,여성,미국
444,50775,2002,솔로,남성,미국
445,449941,2010,그룹,남성,대한민국
446,693951,2014.02.25,그룹,여성,대한민국
447,204069,2006,그룹,남성,대한민국
448,2924,1990,솔로,여성,대한민국
449,944650,2016.01.27,솔로,남성,대한민국
450,252387,2008.06.26,솔로,여성,대한민국
451,542340,2011,솔로,남성,대한민국
452,575911,2011,그룹,남성,대한민국
453,6993,,솔로,남성,대한민국
454,227228,2007,솔로,여성,대한민국
455,672560,2012.05.24,그룹,남성,대한민국
456,35682,2011,솔로,남성,대한민국
457,757273,2016.04.10,솔로,남성,미국
458,36366,2012.02.01,솔로,여성,대한민국
459,421442,2009,솔로,여성,영국
460,220449,2007,솔로,남성,영국
461,695332,2010,솔로,여성,대한민국
462,597191,2011,솔로,여성,대한민국
463,1136,1997,솔로,남성,대한민국
464,4065,1999,솔로,여성,미국
465,161975,2004,그룹,혼성,대한민국
466,729407,2013.05.01,솔로,남성,대한민국
