,artist_id,debut_date,artist_type,artist_gender,artist_nationality
248,514619,,,,
249,184926,,,,
250,420527,,,,
251,107725,,,,
252,247639,,,,
253,698776,,,,
254,3596,,,,
255,226582,,,,
256,1714,,,,
257,2644426,,,,
258,100094,,,,
259,780922,,,,
260,995,,,,
261,186309,,,,
262,439021,,,,
263,1682,,,,
264,1586,,,,
265,2899555,,,,
266,889721,,,,
267,6027,,,,
268,228841,,,,
269,471741,,,,
270,772253,,,,
271,1624993,,,,
272,2743730,,,,
273,243232,,,,
274,241925,,,,
275,7560,,,,
276,3264,,,,
277,476181,,,,
278,43443,,,,
279,107224,,,,
280,724318,,,,
281,55255,,,,
282,928017,,,,
283,838654,,,,
284,550443,,,,
285,35007,,,,
286,1228017,,,,
287,6017,,,,
288,2880487,,,,
289,828478,,,,
290,510242,,,,
291,2633192,,,,
292,718655,,,,
293,32201,,,,
294,1741,,,,
295,175404,,,,
296,1873,,,,
297,1703507,,,,
298,688432,,,,
299,103964,,,,
300,22836,,,,
301,927668,,,,
302,8433,,,,
303,275266,,,,
304,979724,,,,
305,13494,,,,
306,1865973,,,,
307,1866689,,,,
308,3060223,,,,
309,32339,,,,
310,2399724,,,,
311,6502,,,,
312,7839,,,,
313,925,,,,
314,175136,,,,
315,570731,,,,
316,785501,,,,
317,46187,,,,
318,27784,,,,
319,100057,,,,
320,569214,,,,
321,33614,,,,
322,105696,,,,
323,943511,,,,
324,198656,,,,
325,500421,,,,
326,3895,,,,
327,60143,,,,
328,2869463,,,,
329,663691,,,,
330,26265,,,,
331,651331,,,,
332,789331,,,,
333,169635,,,,
334,683631,,,,
335,9842,,,,
336,715176,,,,
337,623851,,,,
338,36142,,,,
339,2136895,,,,
340,8046,,,,
341,230519,,,,
342,554180,,,,
343,170042,,,,
344,516080,,,,
345,181727,,,,
346,45162,,,,
347,2899290,,,,
348,749640,,,,
349,552082,,,,
350,889,,,,
351,242868,,,,
352,646172,,,,
353,100742,,,,
354,880630,,,,
355,475721,,,,
356,1956543,,,,
357,168015,,,,
358,786499,,,,
359,585492,,,,
360,2895619,,,,
361,221726,,,,
362,100260,,,,
363,792091,,,,
364,484881,,,,
