,song_name,song_id,artist_name,artist_id,alb_name,alb_id,song_likes,debut_date,artist_type,artist_gender,artist_nationality
1026,Love Is Feeling,1502238.0,테이,51893.0,Rainbow Duet Vol.3,332861.0,565,2004,솔로,남성,대한민국
1027,내 눈물이 마를 때까지,1754739.0,테이,51893.0,로비스트 OST,359900.0,889,2004,솔로,남성,대한민국
1028,그리움을 사랑한 가시나무,698979.0,테이,51893.0,Ucupracacia,49657.0,12744,2004,솔로,남성,대한민국
1029,위태로운 이야기,1173854.0,박정현,1099.0,위태로운 이야기,316942.0,4961,1998,솔로,여성,미국
1030,세상 그 누구보다,3478633.0,박정현,1099.0,스파이 명월 OST Part.2,1332968.0,866,1998,솔로,여성,미국
1031,No Break,1941314.0,박정현,1099.0,No Break,399139.0,2651,1998,솔로,여성,미국
1032,이브의 경고 (박미경),3478950.0,박정현,1099.0,[나는 가수다] 경연6-1. '이 무대에서 도전하고 싶은 노래',1333251.0,1483,1998,솔로,여성,미국
1033,바보 (박효신),3448851.0,박정현,1099.0,[서바이벌 나는 가수다] 경연5-1. '내가 부르고 싶은 노래',1312651.0,2932,1998,솔로,여성,미국
1034,겨울비 (시나위),3467657.0,박정현,1099.0,[서바이벌 나는 가수다] 경연5-2. '청중 평가단 추천곡',1324460.0,926,1998,솔로,여성,미국
1035,이젠 그랬으면 좋겠네 (조용필),3394454.0,박정현,1099.0,[서바이벌 나는 가수다] 경연3-1. '내가 부르고싶은 남의노래',1270551.0,5932,1998,솔로,여성,미국
1036,Against All Odds (CF - 투싼 박정현 편),1140494.0,박정현,1099.0,Against All Odds,316267.0,800,1998,솔로,여성,미국
1037,My Story,1756995.0,브라운 아이드 소울,107728.0,"The Wind, The Sea, The Rain",360077.0,44359,2003,그룹,남성,대한민국
1038,밤의 멜로디,7967337.0,브라운 아이드 소울,107728.0,BROWN EYED SOUL 정규 4집 'SOUL COOKE',2655298.0,29814,2003,그룹,남성,대한민국
1039,바람인가요,1756994.0,브라운 아이드 소울,107728.0,"The Wind, The Sea, The Rain",360077.0,15599,2003,그룹,남성,대한민국
1040,HOME,7967344.0,브라운 아이드 소울,107728.0,BROWN EYED SOUL 정규 4집 'SOUL COOKE',2655298.0,22543,2003,그룹,남성,대한민국
1041,오래도록 고맙도록,1756997.0,브라운 아이드 소울,107728.0,"The Wind, The Sea, The Rain",360077.0,21565,2003,그룹,남성,대한민국
1042,추억 사랑만큼 (Feat. 강현정 Of Bubble Sisters),1757000.0,브라운 아이드 소울,107728.0,"The Wind, The Sea, The Rain",360077.0,14831,2003,그룹,남성,대한민국
1043,Because Of You,1757002.0,브라운 아이드 소울,107728.0,"The Wind, The Sea, The Rain",360077.0,11574,2003,그룹,남성,대한민국
1044,흔들어 주세요,3467467.0,철싸 (노홍철 & 싸이),550446.0,무한도전 서해안 고속도로 가요제,1324270.0,12123,2011,그룹,남성,대한민국
1045,어떻게 지내 (Prod. By VAN.C),32438894.0,오반,925515.0,어떻게 지내,10399190.0,183332,2010,솔로,남성,대한민국
1046,축하해 (Prod. By VAN.C),32915886.0,오반,925515.0,축하해,10488222.0,47713,2010,솔로,남성,대한민국
1047,행복,31470006.0,오반,925515.0,행복,10229387.0,125040,2010,솔로,남성,대한민국
1048,수사반장,622778.0,DJ DOC,100005.0,"Love & Sex, Happiness 6집",43512.0,564,1994,그룹,남성,대한민국
1049,"I Wanna (Drop It, Like It'S Hot! - Feat. Smash Of 45Rpm, Red-Roc)",622776.0,DJ DOC,100005.0,"Love & Sex, Happiness 6집",43512.0,3362,1994,그룹,남성,대한민국
1050,다정히 내 이름을 부르면,33496587.0,경서예지,2863470.0,다정히 내 이름을 부르면 (경서예지 x 전건호),10610525.0,145371,2020.04.12,그룹,여성,대한민국
1051,사실 나는 (Feat.전건호),32525311.0,경서예지,2863470.0,사실 나는,10416034.0,94608,2020.04.12,그룹,여성,대한민국
1052,Memories,32055419.0,Maroon 5,107721.0,JORDI (Deluxe),10330593.0,192127,2002,그룹,남성,미국
1053,Sugar,4857981.0,Maroon 5,107721.0,V (Deluxe Edition),2279275.0,223693,2002,그룹,남성,미국
1054,"사랑, 참...",1456656.0,홍경민,891.0,Evolution Of Rhythm,327838.0,5667,1997,솔로,남성,대한민국
1055,Tonight,634613.0,홍경민,891.0,Listen & Repeat,44763.0,1143,1997,솔로,남성,대한민국
1056,북 (Prod. SLO),30957524.0,Rohann (이로한),2111771.0,고등래퍼2 팀대항전 Part.1,10148752.0,93050,2010,솔로,남성,대한민국
1057,"이로한 (Feat. ELO, Jessi) (Prod. Padi)",31019585.0,Rohann (이로한),2111771.0,고등래퍼2 Final,10158254.0,62444,2010,솔로,남성,대한민국
1058,"Like It (Feat. 행주, 보이비)",30974158.0,Rohann (이로한),2111771.0,고등래퍼2 팀대항전 Part.2,10151113.0,53387,2010,솔로,남성,대한민국
1059,띵 (Prod. By 기리보이),31554317.0,Jvcki Wai,982316.0,Dingo X Indigo Music,10241866.0,136478,2010,솔로,여성,대한민국
1060,날 그만 잊어요,537749.0,거미,30358.0,It's Different,35501.0,55107,2003,솔로,여성,대한민국
1061,기억상실,537750.0,거미,30358.0,It's Different,35501.0,34628,2003,솔로,여성,대한민국
1062,통증,1613082.0,거미,30358.0,히트 OST,349037.0,4136,2003,솔로,여성,대한민국
1063,요즘 사람들,3759413.0,거미,30358.0,러브 레시피 II,2105946.0,4667,2003,솔로,여성,대한민국
1064,친구라도 될 걸 그랬어,418598.0,거미,30358.0,Like Them,26396.0,90622,2003,솔로,여성,대한민국
1065,가질 수 없는 너,7958267.0,거미,30358.0,투유 프로젝트 - 슈가맨 Part.7,2654077.0,16202,2003,솔로,여성,대한민국
1066,내게로 오는 길,1998351.0,거미,30358.0,종합병원 2 OST Vol.2,445651.0,1506,2003,솔로,여성,대한민국
1067,영원한 친구 (나미),3688296.0,거미,30358.0,[나는 가수다] 경연 15-1,2071186.0,452,2003,솔로,여성,대한민국
1068,착한거짓말,1698347.0,이승기,58793.0,이별 이야기,355821.0,8637,2004,솔로,남성,대한민국
1069,하기 힘든 말,1099594.0,이승기,58793.0,Crazy For You,313335.0,16698,2004,솔로,남성,대한민국
1070,원하고 원망하죠,1416893.0,이승기,58793.0,남자가 여자를 사랑할 때,326571.0,13615,2004,솔로,남성,대한민국
1071,입모양,1099596.0,이승기,58793.0,Crazy For You,313335.0,6756,2004,솔로,남성,대한민국
1072,제발,1416892.0,이승기,58793.0,남자가 여자를 사랑할 때,326571.0,3106,2004,솔로,남성,대한민국
1073,삭제,530124.0,이승기,58793.0,나방의 꿈,34984.0,55273,2004,솔로,남성,대한민국
1074,그리고 안녕,5731852.0,이승기,58793.0,그리고...,2323159.0,26964,2004,솔로,남성,대한민국
1075,뻔한남자,33061829.0,이승기,58793.0,뻔한남자,10518190.0,43756,2004,솔로,남성,대한민국
1076,땡벌,1618894.0,이승기,58793.0,Love,349441.0,556,2004,솔로,남성,대한민국
1077,잘할게,33129712.0,이승기,58793.0,The Project,10532045.0,30896,2004,솔로,남성,대한민국
1078,친구잖아,3589429.0,이승기,58793.0,Tonight,2025426.0,12367,2004,솔로,남성,대한민국
1079,한번만 더,1416896.0,이승기,58793.0,남자가 여자를 사랑할 때,326571.0,4055,2004,솔로,남성,대한민국
1080,사랑은,1472307.0,더 네임,25353.0,Second Chance To Fly,328782.0,4872,2002,솔로,남성,대한민국
1081,이별…후에,1707960.0,더 네임,25353.0,이별...후에,356412.0,1821,2002,솔로,남성,대한민국
1082,겨우살아 (Feat. 케이윌),3458226.0,더 네임,25353.0,겨우살아,1317554.0,3886,2002,솔로,남성,대한민국
1083,홀로,32808616.0,이하이,646171.0,홀로,10465994.0,147472,2012,솔로,여성,대한민국
1084,누구 없소 (NO ONE) (Feat. B.I of iKON),31841027.0,이하이,646171.0,24℃,10292330.0,75801,2012,솔로,여성,대한민국
1085,Love (키샤콜),3765097.0,이하이,646171.0,SBS K팝 스타 Top 5,2108106.0,9896,2012,솔로,여성,대한민국
1086,너를 위해 (임재범),3740633.0,이하이,646171.0,SBS K팝 스타 Special No.1,2095786.0,9745,2012,솔로,여성,대한민국
1087,For You (Feat. Crush),33142705.0,이하이,646171.0,For You,10534900.0,52399,2012,솔로,여성,대한민국
1088,Mercy (Duffy),3750468.0,이하이,646171.0,SBS K팝 스타 Special No.2,2100869.0,9100,2012,솔로,여성,대한민국
1089,Hey You,3747933.0,CNBLUE (씨엔블루),450801.0,EAR FUN,2093776.0,18635,2010.01.14,그룹,남성,대한민국
1090,아직 사랑한다,3736524.0,CNBLUE (씨엔블루),450801.0,EAR FUN,2093776.0,8480,2010.01.14,그룹,남성,대한민국
1091,쉬어 (Feat. MINO) (Prod. GRAY),34215822.0,아넌딜라이트(Anandelight),2402561.0,쇼미더머니 10 Episode 1,10765081.0,101507,2019.01.30,솔로,남성,대한민국
1092,톡!톡!톡! (Toc Toc Toc)(CF - 투싼 '이효리'편),1581597.0,이효리,1713.0,Toc Toc Toc (Single),346067.0,6978,2003,솔로,여성,대한민국
1093,그녀를 사랑하지마,1581598.0,이효리,1713.0,Toc Toc Toc (Single),346067.0,3833,2003,솔로,여성,대한민국
1094,Get Ya',1108723.0,이효리,1713.0,Dark Angel,313836.0,3231,2003,솔로,여성,대한민국
1095,기억해,3483249.0,이효리,1713.0,기억해 (네이버 재능기부 캠페인),1336252.0,1753,2003,솔로,여성,대한민국
1096,랄랄라 (Feat. 소야),3460102.0,마이티 마우스,239366.0,랄랄라,1318477.0,29387,2008,그룹,남성,대한민국
1097,패밀리 (Feat. 손담비),1960948.0,마이티 마우스,239366.0,패밀리,414351.0,1755,2008,그룹,남성,대한민국
1098,꺼내 먹어요,5702706.0,Zion.T,537920.0,Eat,2319240.0,168253,2011,솔로,남성,대한민국
1099,양화대교,5389475.0,Zion.T,537920.0,양화대교,2282942.0,189952,2011,솔로,남성,대한민국
1100,그냥 (Just),5572312.0,Zion.T,537920.0,Young,2302415.0,154002,2011,솔로,남성,대한민국
1101,No Make Up,7881505.0,Zion.T,537920.0,No Make Up,2644221.0,155894,2011,솔로,남성,대한민국
1102,멋지게 인사하는 법 (Feat. 슬기 of Red Velvet),31356451.0,Zion.T,537920.0,ZZZ,10212202.0,107525,2011,솔로,남성,대한민국
1103,노래,30227061.0,Zion.T,537920.0,OO,10035027.0,88945,2011,솔로,남성,대한민국
1104,다시 (Feat. 유재석),7985328.0,터보,100059.0,AGAIN (다시),2657769.0,24730,1995,그룹,남성,대한민국
1105,미치고 싶다,30399360.0,한동근,711476.0,한동근 1ST ALBUM 'Your Diary',10059997.0,79663,2010,솔로,남성,대한민국
1106,그대라는 사치,9614761.0,한동근,711476.0,The 3rd Digital Single '그대라는 사치',2706226.0,198852,2010,솔로,남성,대한민국
1107,이 소설의 끝을 다시 써보려 해,5398990.0,한동근,711476.0,The 1st Digital Single '이 소설의 끝을 다시 써보려 해',2284064.0,239108,2010,솔로,남성,대한민국
1108,사랑인걸,34752959.0,한동근,711476.0,사랑인걸,10890071.0,32921,2010,솔로,남성,대한민국
1109,Snowman,30717645.0,Sia,54103.0,Everyday Is Christmas (Snowman Deluxe Edition),10107511.0,207750,1997,솔로,여성,오스트레일리아
1110,고백,31356458.0,양다일,695994.0,고백,10212203.0,146906,2015.10.01,솔로,남성,대한민국
1111,미안해,30809895.0,양다일,695994.0,inside,10123639.0,201111,2015.10.01,솔로,남성,대한민국
1112,My Love,31918207.0,양다일,695994.0,My Love,10305684.0,23631,2015.10.01,솔로,남성,대한민국
1113,요즘,33167083.0,양다일,695994.0,요즘,10540303.0,24302,2015.10.01,솔로,남성,대한민국
1114,나비무덤,848804.0,테이크 (TAKE),105789.0,To Girl,303280.0,55539,2003,그룹,남성,대한민국
1115,발걸음이 들려오면,1610825.0,견우 (Kyunwoo),172281.0,The Kiss,348811.0,221,2005,솔로,남성,대한민국
1116,진저리,1114298.0,견우 (Kyunwoo),172281.0,Who's NEXT in 2006,314297.0,2045,2005,솔로,남성,대한민국
1117,깡 Official Remix,32646938.0,식케이 (Sik-K),786648.0,깡 Official Remix,10439549.0,71656,2010,솔로,남성,대한민국
1118,어떻게 사랑이 그래요,1490825.0,이승환,26.0,Hwantastic,331503.0,75368,1989,솔로,남성,대한민국
1119,내 맘이 안 그래,1758645.0,이승환,26.0,말랑,360187.0,1287,1989,솔로,남성,대한민국
1120,Yuki No Hana,622082.0,Nakashima Mika,52974.0,Love,42298.0,14436,2001,솔로,여성,일본
1121,살다가 한번쯤,3427926.0,포맨 (4MEN),100176.0,The Artist,1294153.0,46389,1998,그룹,남성,대한민국
